price,place,cod
"R$150.000,00",Vila Virgínia,30771
"R$580.000,00",Ribeirânia,30770
"R$700,00",Jardim República,30769
"R$200.000,00",Santa Cruz do José Jacques,30767
"R$430.000,00",Jardim Botânico,30765
"R$300.000,00",Recreio das Acácias,30764
"R$919.000,00",City Ribeirão,30763
"R$850.000,00",Jardim São José,30762
"R$300.000,00",Ribeirânia,30760
"R$750.000,00",Alto da Boa Vista,30755
"R$420.000,00",Jardim Manoel Penna,30754
"R$460.000,00",Jardim dos Hibiscos,30753
"R$445.000,00",Campos Elíseos,30752
"R$250.000,00",Nova Aliança,30751
"R$650.000,00",Recreio das Acácias,30749
"R$200.000,00",Lagoinha,30748
"R$5.000.000,00",Centro,30747
"R$950.000,00",Villa Romana,30744
"R$320.000,00",Reserva do Bosque,30743
"R$7.000,00",Alto da Boa Vista,30741
"R$2.500.000,00",Jardim Porto Seguro,30727
"R$470.000,00",Vila Virgínia,30725
"R$150.000,00",Jardim Manoel Penna,30724
"R$1.590.000,00",Centro,30723
"R$1.400.000,00",Ribeirânia,30721
"R$120.000,00",Centro Empresarial Charuri,30719
"R$1.124.000,00",Jardim Alto das Acácias,30716
"R$150.000,00",Rifaina,30715
"R$121.176,00",Centro,30714
"R$600.000,00",Jardim Botânico,30712
"R$370.000,00",Jardim Paulista,30711
"R$210.000,00",Terras de Siena,30708
